Elapsed time,192.168.206.141 CPU,192.168.206.141 Disks I/O,192.168.206.141 Memory,192.168.206.141 Network I/O,,,,
24:41.0,1.795,-0.999,83.574,0,,,,
24:42.0,100,-0.99,83.655,201641,平均响应时间,最大响应时间,正确率,事务数
24:43.0,99.009,-0.974,83.716,243041,60ms,185ms,100%,10.2tps
24:44.0,100,-0.973,83.708,210954,,,,
24:45.0,99,-0.979,83.724,234064,,,,
24:46.0,100,-0.992,83.718,218255,,,,
24:47.0,99,-0.983,83.736,232767,,,,
24:48.0,100,-0.979,83.768,225354,,,,
24:49.0,100,-0.981,83.79,214292,,,,
24:50.0,99.009,-0.984,83.811,225330,,,,
24:51.0,100,-0.977,83.781,217412,,,,
24:52.0,100,-0.99,83.798,223952,,,,
24:53.0,99.009,-0.987,83.822,240061,,,,
24:54.0,100,-0.987,83.849,217880,,,,
24:55.0,99,-0.987,83.863,233944,,,,
24:56.0,100,-0.985,83.871,230916,,,,
24:57.0,99.019,-0.933,83.504,214093,,,,
24:58.0,100,-0.985,83.475,274085,,,,
24:59.0,100,-0.992,83.493,191711,,,,
25:00.0,99,-0.987,83.495,260447,,,,
25:01.0,100,-0.97,83.52,212785,,,,
25:02.0,100,-0.989,83.519,232232,,,,
25:03.0,100,-0.989,83.517,246929,,,,
25:04.0,99.009,-0.98,83.517,266408,,,,
25:05.0,99.009,-0.989,83.524,257544,,,,
25:06.0,100,-0.985,83.522,274775,,,,
25:07.0,99,-0.986,83.535,220255,,,,
25:08.0,100,-0.984,83.534,219799,,,,
25:09.0,100,-0.988,83.545,270991,,,,
25:10.0,100,-0.988,83.537,265014,,,,
25:11.0,98.039,-0.986,83.542,246705,,,,
25:12.0,100,-0.985,83.551,241271,,,,
25:13.0,100,-0.983,83.538,265537,,,,
25:14.0,99.009,-0.988,83.548,270910,,,,
25:15.0,100,-0.986,83.59,185532,,,,
25:16.0,99.009,-0.986,83.587,213411,,,,
25:17.0,99,-0.992,83.605,265727,,,,
25:18.0,100,-0.984,83.612,283180,,,,
25:19.0,100,-0.984,83.63,246593,,,,
25:20.0,99.009,-0.98,83.629,234352,,,,
25:21.0,100,-0.989,83.645,267270,,,,
25:22.0,99.009,-0.975,83.65,287919,,,,
25:23.0,100,-0.984,83.667,241565,,,,
25:24.0,100,-0.98,83.67,234364,,,,
25:25.0,99.009,-0.985,83.688,287184,,,,
25:26.0,100,-0.984,83.695,284398,,,,
25:27.0,99.009,-0.985,83.689,243070,,,,
25:28.0,100,-0.987,83.692,226049,,,,
25:29.0,99,-0.986,83.684,233539,,,,
25:30.0,100,-0.984,83.712,226103,,,,
25:31.0,99.009,-0.99,83.722,234375,,,,
25:32.0,100,-0.988,83.722,234834,,,,
25:33.0,100,-0.986,83.72,278552,,,,
25:34.0,99.009,-0.876,83.235,236430,,,,
25:35.0,100,-0.988,83.211,248566,,,,
25:36.0,99.009,-0.987,83.204,264244,,,,
25:37.0,99.009,-0.99,83.208,234032,,,,
25:38.0,100,-0.978,83.217,232980,,,,
25:39.0,100,-0.991,83.231,211855,,,,
,100,-0.9905,83.443,206748,,,,
